商品编号,所属分类ID,商品名称,规格描述,单价,计量单位,库存数量,商品标签,商品图标,规格选项,属性键值对,商品图片URL
0502,0,502 MAGNOLIA,8,15.6,PZ,999,,📦,8,,/images/0502.jpg
0721,0,SUPER SHOW - 280s,1,144,PZ,999,,📦,1,,/images/0721.jpg
0723,0,NEW CASABLANCA - 200s    I I I,2,72,PZ,999,,📦,2,,/images/0723.jpg
724A,0,ALESSI PIROSHOW - 200s,2,84,PZ,999,,📦,2,,/images/724A.jpg
724B,0,ALESSI SUPERSTAR - 200s,2,84,PZ,999,,📦,2,,/images/724B.jpg
725,0,NAXOS - 238s                        I Z W,1,108,PZ,999,,📦,1,,/images/725.jpg
726,0,HIPPY - 350s,1,144,PZ,999,,📦,1,,/images/726.jpg
400,0,CANDELA ROMANA - 20 getti,48,2.9,PZ,999,,📦,48,,/images/400.jpg
402,0,CANDELA ROMANA - 5 getti,12,8.4,PZ,999,,📦,12,,/images/402.jpg
409,0,RAZZETTO FISCHIO + COLPO,240,0.75,PZ,999,,📦,240,,/images/409.jpg
413,0,RAZZO  SATURNO,20,10.2,PZ,999,,📦,20,,/images/413.jpg
414,0,RAZZO VENERE,12,11.4,PZ,999,,📦,12,,/images/414.jpg
100C,0,100 colpi,4,24,PZ,999,,📦,4,,/images/100C.jpg
demon,0,DEMON,100,1.6,PZ,999,,📦,100,,/images/demon.jpg
mini,0,MINI THOR,50,3.1,PZ,999,,📦,50,,/images/mini.jpg
mid,0,MID TOHOR,72,2.2,PZ,999,,📦,72,,/images/mid.jpg
